Job Title,Job CompanyName,Job Location,Job Descriptions,
Analyste développeur Cobol (H/F),EURO-INFORMATION DEVELOPPEMENTS,75009 Paris,Euro-Information  filiale technologique de Crédit Mutuel Alliance Fédérale  conçoit  réalise  maintient et exploite un système d’information commun utilisé par…
Analyste développeur C# - traitement d'images (H/F),EURO-INFORMATION DEVELOPPEMENTS,94120 Fontenay-sous-Bois,Euro-Information  filiale technologique de Crédit Mutuel Alliance Fédérale  conçoit  réalise  maintient et exploite un système d’information commun utilisé par…
Lead Développeur(se) Backend - H/F,Up Skills,Arcueil (94),Lead Developer Backend  Lead Developer  Backend Developer / CDI / Environ 77k€ / 3 - 6 ans / Arcueil. En tant que Lead Développeur Backend dans notre équipe  tu…
Développeur Full Stack H/F,MédiFirst,Télétravail hybride à 78180 Montigny-le-Bretonneux,Nous sommes une société à taille humaine de 27 personnes  qui édite des logiciels web dans les domaines de la PMA (MédiFirst-AMP) et la génétique (MédiFirst…
Développeur•euse web frontend H/F,CNRS,Paris (75),Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler. Niveau d'études souhaité : Niveau 7 - (Bac+5 et plus).
Lead/Référent Développeur(se) Mobile React Native - H/F,EASY PARTNER,92100 Boulogne-Billancourt,Mobile Developer  Lead Developer / CDI / Environ 70k€ / 7+ / Boulogne-Billancourt. Participer aux différents développements  en lien avec le Product Owner et le…
Tech Lead Cloud DevOps GCP (H/F),Atos,95870 Bezons,Leader international du numérique sécurisé et décarboné  Atos contribue à façonner les nouvelles technologies avec ses clients.
Développeur Front React.JS - H/F,CANAL+ Group,92800 Puteaux,Développeur Frontend  Frontend Developer / CDI / Environ 65k€ / 3 - 6 ans / Puteaux. Déploiement des interfaces CANAL+ à l'international notamment en Pologne …
Développeuse / Développeur Backend Junior en CDI H/F - IDF,CAPGEMINI ENGINEERING,Paris (75),Résolument multiculturel  le Groupe compte 270 000 collaborateurs présents dans plus de 50 pays. Proposer des solutions techniques pour répondre aux besoins…
STAGE - Développeur Web Full Stack H/F,Crédit Agricole Assurances,75015 Paris,Analyser les besoins du demandeur et les traduire en cahier des charges technique. Concevoir la solution et écrire les spécifications techniques générales et…
Analyste développeur Cobol (H/F),EURO-INFORMATION DEVELOPPEMENTS,75009 Paris,La particularité chez Euro-Information : un analyste développeur ne fait pas que du code ni qu’exécuter les ordres d’un chef de projet.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Développeur Front End React,Adevinta,Paris (75),Chaque connexion établie ou chaque objet trouvé fait la différence en créant un monde où les gens partagent plus et gaspillent moins.
Développeur Nodejs Mongodb Reactjs (H/F),HR-TEAM,Paris (75),Se tenir à jour des évolutions sur les parties backend et frontend. Tests unitaires / fonctionnels / de non régression.
